slug,status,canonical
badge-check,canonical,badge-check
badge-dollar-sign,canonical,badge-dollar-sign
badge-euro,canonical,badge-euro
badge-help,deprecated,badge-question-mark
badge-indian-rupee,canonical,badge-indian-rupee
badge-info,canonical,badge-info
badge-japanese-yen,canonical,badge-japanese-yen
badge-minus,canonical,badge-minus
badge-percent,canonical,badge-percent
badge-plus,canonical,badge-plus
badge-pound-sterling,canonical,badge-pound-sterling
badge-question-mark,canonical,badge-question-mark
badge-russian-ruble,canonical,badge-russian-ruble
badge-swiss-franc,canonical,badge-swiss-franc
badge-turkish-lira,canonical,badge-turkish-lira
badge-x,canonical,badge-x
badge,canonical,badge
baggage-claim,canonical,baggage-claim
balloon,canonical,balloon
ban,canonical,ban
banana,canonical,banana
bandage,canonical,bandage
banknote-arrow-down,canonical,banknote-arrow-down
banknote-arrow-up,canonical,banknote-arrow-up
banknote-check,canonical,banknote-check
banknote-x,canonical,banknote-x
banknote,canonical,banknote
bar-chart-2,deprecated,chart-no-axes-column
bar-chart-3,deprecated,chart-column
bar-chart-4,deprecated,chart-column-increasing
bar-chart-big,deprecated,chart-column-big
bar-chart-horizontal-big,deprecated,chart-bar-big
bar-chart-horizontal,deprecated,chart-bar
bar-chart,deprecated,chart-no-axes-column-increasing
barcode,canonical,barcode
barrel,canonical,barrel
baseline,canonical,baseline
bath,canonical,bath
battery-charging,canonical,battery-charging
battery-full,canonical,battery-full
battery-low,canonical,battery-low
battery-medium,canonical,battery-medium
battery-plus,canonical,battery-plus
battery-warning,canonical,battery-warning
battery,canonical,battery
beaker,canonical,beaker
bean-off,canonical,bean-off
bean,canonical,bean
bed-double,canonical,bed-double
bed-single,canonical,bed-single
bed,canonical,bed
beef-off,canonical,beef-off
beef,canonical,beef
beer-off,canonical,beer-off
beer,canonical,beer
bell-check,canonical,bell-check
bell-dot,canonical,bell-dot
bell-electric,canonical,bell-electric
bell-minus,canonical,bell-minus
bell-off,canonical,bell-off
bell-plus,canonical,bell-plus
bell-ring,canonical,bell-ring
bell,canonical,bell
between-horizonal-end,deprecated,between-horizontal-end
between-horizonal-start,deprecated,between-horizontal-start
between-horizontal-end,canonical,between-horizontal-end
between-horizontal-start,canonical,between-horizontal-start
between-vertical-end,canonical,between-vertical-end
between-vertical-start,canonical,between-vertical-start
biceps-flexed,canonical,biceps-flexed
bike,canonical,bike
binary,canonical,binary
binoculars,canonical,binoculars
biohazard,canonical,biohazard
bird,canonical,bird
birdhouse,canonical,birdhouse
bitcoin,canonical,bitcoin
blend,canonical,blend
blender,canonical,blender
blinds,canonical,blinds
blocks,canonical,blocks
bluetooth-connected,canonical,bluetooth-connected
bluetooth-off,canonical,bluetooth-off
bluetooth-searching,canonical,bluetooth-searching
bluetooth,canonical,bluetooth
bold,canonical,bold
bolt,canonical,bolt
bomb,canonical,bomb
bone-fracture,canonical,bone-fracture
bone,canonical,bone
book-a,canonical,book-a
book-alert,canonical,book-alert
book-audio,canonical,book-audio
book-check,canonical,book-check
book-copy,canonical,book-copy
book-dashed,canonical,book-dashed
book-down,canonical,book-down
book-headphones,canonical,book-headphones
book-heart,canonical,book-heart
book-image,canonical,book-image
book-key,canonical,book-key
book-lock,canonical,book-lock
book-marked,canonical,book-marked
book-minus,canonical,book-minus
book-open-check,canonical,book-open-check
book-open-text,canonical,book-open-text
book-open,canonical,book-open
book-plus,canonical,book-plus
book-search,canonical,book-search
book-template,deprecated,book-dashed
book-text,canonical,book-text
book-type,canonical,book-type
book-up-2,canonical,book-up-2
book-up,canonical,book-up
book-user,canonical,book-user
book-x,canonical,book-x
book,canonical,book
bookmark-check,canonical,bookmark-check
bookmark-minus,canonical,bookmark-minus
bookmark-off,canonical,bookmark-off
bookmark-plus,canonical,bookmark-plus
bookmark-x,canonical,bookmark-x
bookmark,canonical,bookmark
boom-box,canonical,boom-box
bot-message-square,canonical,bot-message-square
bot-off,canonical,bot-off
bot,canonical,bot
bottle-wine,canonical,bottle-wine
bow-arrow,canonical,bow-arrow
box-select,deprecated,square-dashed
box,canonical,box
boxes,canonical,boxes
braces,canonical,braces
brackets,canonical,brackets
brain-circuit,canonical,brain-circuit
brain-cog,canonical,brain-cog
brain,canonical,brain
brick-wall-fire,canonical,brick-wall-fire
brick-wall-shield,canonical,brick-wall-shield
brick-wall,canonical,brick-wall
briefcase-business,canonical,briefcase-business
briefcase-conveyor-belt,canonical,briefcase-conveyor-belt
briefcase-medical,canonical,briefcase-medical
briefcase,canonical,briefcase
bring-to-front,canonical,bring-to-front
broccoli,canonical,broccoli
broom-sparkles,canonical,broom-sparkles
broom,canonical,broom
brush-cleaning,canonical,brush-cleaning
brush,canonical,brush
bubbles,canonical,bubbles
bug-off,canonical,bug-off
bug-play,canonical,bug-play
bug,canonical,bug
building-2,canonical,building-2
building,canonical,building
bus-front,canonical,bus-front
bus,canonical,bus
cable-car,canonical,cable-car
cable,canonical,cable
cake-slice,canonical,cake-slice
cake,canonical,cake
calculator,canonical,calculator
calendar-1,canonical,calendar-1
calendar-arrow-down,canonical,calendar-arrow-down
calendar-arrow-up,canonical,calendar-arrow-up
calendar-check-2,canonical,calendar-check-2
calendar-check,canonical,calendar-check
calendar-clock,canonical,calendar-clock
calendar-cog,canonical,calendar-cog
calendar-days,canonical,calendar-days
calendar-fold,canonical,calendar-fold
calendar-heart,canonical,calendar-heart
calendar-minus-2,canonical,calendar-minus-2
calendar-minus,canonical,calendar-minus
calendar-off,canonical,calendar-off
calendar-plus-2,canonical,calendar-plus-2
calendar-plus,canonical,calendar-plus
calendar-range,canonical,calendar-range
calendar-search,canonical,calendar-search
calendar-sync,canonical,calendar-sync
calendar-x-2,canonical,calendar-x-2
calendar-x,canonical,calendar-x
calendar,canonical,calendar
calendars,canonical,calendars
camera-off,canonical,camera-off
camera,canonical,camera
candlestick-chart,deprecated,chart-candlestick
candy-cane,canonical,candy-cane
candy-off,canonical,candy-off
candy,canonical,candy
cannabis-off,canonical,cannabis-off
cannabis,canonical,cannabis
captions-off,canonical,captions-off
captions,canonical,captions
car-front,canonical,car-front
car-taxi-front,canonical,car-taxi-front
car,canonical,car
caravan,canonical,caravan
card-sim,canonical,card-sim
carrot,canonical,carrot
case-lower,canonical,case-lower
case-sensitive,canonical,case-sensitive
case-upper,canonical,case-upper
cassette-tape,canonical,cassette-tape
cast,canonical,cast
castle,canonical,castle
cat,canonical,cat
cctv-off,canonical,cctv-off
cctv,canonical,cctv
chart-area,canonical,chart-area
chart-bar-big,canonical,chart-bar-big
chart-bar-decreasing,canonical,chart-bar-decreasing
chart-bar-increasing,canonical,chart-bar-increasing
chart-bar-stacked,canonical,chart-bar-stacked
chart-bar,canonical,chart-bar
chart-candlestick,canonical,chart-candlestick
chart-column-big,canonical,chart-column-big
chart-column-decreasing,canonical,chart-column-decreasing
chart-column-increasing,canonical,chart-column-increasing
chart-column-stacked,canonical,chart-column-stacked
chart-column,canonical,chart-column
chart-gantt,canonical,chart-gantt
chart-line,canonical,chart-line
chart-network,canonical,chart-network
chart-no-axes-column-decreasing,canonical,chart-no-axes-column-decreasing
chart-no-axes-column-increasing,canonical,chart-no-axes-column-increasing
chart-no-axes-column,canonical,chart-no-axes-column
chart-no-axes-combined,canonical,chart-no-axes-combined
chart-no-axes-gantt,canonical,chart-no-axes-gantt
chart-pie,canonical,chart-pie
chart-scatter,canonical,chart-scatter
chart-spline,canonical,chart-spline
check-check,canonical,check-check
check-circle-2,deprecated,circle-check
check-circle,deprecated,circle-check-big
check-line,canonical,check-line
check-square-2,deprecated,square-check
check-square,deprecated,square-check-big
check,canonical,check
chef-hat,canonical,chef-hat
cherry,canonical,cherry
chess-bishop,canonical,chess-bishop
chess-king,canonical,chess-king
chess-knight,canonical,chess-knight
chess-pawn,canonical,chess-pawn
chess-queen,canonical,chess-queen
chess-rook,canonical,chess-rook
chevron-down-circle,deprecated,circle-chevron-down
chevron-down-square,deprecated,square-chevron-down
chevron-down,canonical,chevron-down
chevron-first,canonical,chevron-first
chevron-last,canonical,chevron-last
chevron-left-circle,deprecated,circle-chevron-left
chevron-left-square,deprecated,square-chevron-left
chevron-left,canonical,chevron-left
chevron-right-circle,deprecated,circle-chevron-right
chevron-right-square,deprecated,square-chevron-right
chevron-right,canonical,chevron-right
chevron-up-circle,deprecated,circle-chevron-up
chevron-up-square,deprecated,square-chevron-up
chevron-up,canonical,chevron-up
chevrons-down-up,canonical,chevrons-down-up
chevrons-down,canonical,chevrons-down
chevrons-left-right-ellipsis,canonical,chevrons-left-right-ellipsis
chevrons-left-right,canonical,chevrons-left-right
chevrons-left,canonical,chevrons-left
chevrons-right-left,canonical,chevrons-right-left
chevrons-right,canonical,chevrons-right
chevrons-up-down,canonical,chevrons-up-down
chevrons-up,canonical,chevrons-up
church,canonical,church
cigarette-off,canonical,cigarette-off
cigarette,canonical,cigarette
circle-alert,canonical,circle-alert
circle-arrow-down,canonical,circle-arrow-down
circle-arrow-left,canonical,circle-arrow-left
circle-arrow-out-down-left,canonical,circle-arrow-out-down-left
circle-arrow-out-down-right,canonical,circle-arrow-out-down-right
circle-arrow-out-up-left,canonical,circle-arrow-out-up-left
circle-arrow-out-up-right,canonical,circle-arrow-out-up-right
circle-arrow-right,canonical,circle-arrow-right
circle-arrow-up,canonical,circle-arrow-up
circle-check-big,canonical,circle-check-big
circle-check,canonical,circle-check
circle-chevron-down,canonical,circle-chevron-down
circle-chevron-left,canonical,circle-chevron-left
circle-chevron-right,canonical,circle-chevron-right
circle-chevron-up,canonical,circle-chevron-up
circle-dashed,canonical,circle-dashed
circle-divide,canonical,circle-divide
circle-dollar-sign,canonical,circle-dollar-sign
circle-dot-dashed,canonical,circle-dot-dashed
circle-dot,canonical,circle-dot
circle-ellipsis,canonical,circle-ellipsis
circle-equal,canonical,circle-equal
circle-euro,canonical,circle-euro
circle-fading-arrow-up,canonical,circle-fading-arrow-up
circle-fading-plus,canonical,circle-fading-plus
circle-gauge,canonical,circle-gauge
circle-help,deprecated,circle-question-mark
circle-minus,canonical,circle-minus
circle-off,canonical,circle-off
circle-parking-off,canonical,circle-parking-off
circle-parking,canonical,circle-parking
circle-pause,canonical,circle-pause
circle-percent,canonical,circle-percent
circle-pile,canonical,circle-pile
circle-play,canonical,circle-play
circle-plus,canonical,circle-plus
circle-pound-sterling,canonical,circle-pound-sterling
circle-power,canonical,circle-power
circle-question-mark,canonical,circle-question-mark
