slug,status,canonical
folder-open-dot,canonical,folder-open-dot
folder-open,canonical,folder-open
folder-output,canonical,folder-output
folder-pen,canonical,folder-pen
folder-plus,canonical,folder-plus
folder-root,canonical,folder-root
folder-search-2,canonical,folder-search-2
folder-search,canonical,folder-search
folder-symlink,canonical,folder-symlink
folder-sync,canonical,folder-sync
folder-tree,canonical,folder-tree
folder-up,canonical,folder-up
folder-x,canonical,folder-x
folder,canonical,folder
folders,canonical,folders
footprints,canonical,footprints
fork-knife-crossed,deprecated,utensils-crossed
fork-knife,deprecated,utensils
forklift,canonical,forklift
form-input,deprecated,rectangle-ellipsis
form,canonical,form
forward,canonical,forward
frame,canonical,frame
frown,deprecated,face-slightly-frowning
fuel,canonical,fuel
fullscreen,canonical,fullscreen
function-square,deprecated,square-function
funnel-plus,canonical,funnel-plus
funnel-x,canonical,funnel-x
funnel,canonical,funnel
gallery-horizontal-end,canonical,gallery-horizontal-end
gallery-horizontal,canonical,gallery-horizontal
gallery-thumbnails,canonical,gallery-thumbnails
gallery-vertical-end,canonical,gallery-vertical-end
gallery-vertical,canonical,gallery-vertical
gamepad-2,canonical,gamepad-2
gamepad-directional,canonical,gamepad-directional
gamepad,canonical,gamepad
gantt-chart-square,deprecated,square-chart-gantt
gantt-chart,deprecated,chart-no-axes-gantt
gauge-circle,deprecated,circle-gauge
gauge,canonical,gauge
gavel,canonical,gavel
gem,canonical,gem
georgian-lari,canonical,georgian-lari
ghost,canonical,ghost
gift,canonical,gift
git-branch-minus,canonical,git-branch-minus
git-branch-plus,canonical,git-branch-plus
git-branch,canonical,git-branch
git-commit-horizontal,canonical,git-commit-horizontal
git-commit-vertical,canonical,git-commit-vertical
git-commit,deprecated,git-commit-horizontal
git-compare-arrows,canonical,git-compare-arrows
git-compare,canonical,git-compare
git-fork,canonical,git-fork
git-graph,canonical,git-graph
git-merge-conflict,canonical,git-merge-conflict
git-merge,canonical,git-merge
git-pull-request-arrow,canonical,git-pull-request-arrow
git-pull-request-closed,canonical,git-pull-request-closed
git-pull-request-create-arrow,canonical,git-pull-request-create-arrow
git-pull-request-create,canonical,git-pull-request-create
git-pull-request-draft,canonical,git-pull-request-draft
git-pull-request,canonical,git-pull-request
glass-water,canonical,glass-water
glasses,canonical,glasses
globe-2,deprecated,earth
globe-check,canonical,globe-check
globe-lock,canonical,globe-lock
globe-off,canonical,globe-off
globe-x,canonical,globe-x
globe,canonical,globe
goal,canonical,goal
gpu,canonical,gpu
grab,deprecated,hand-grab
graduation-cap,canonical,graduation-cap
grape,canonical,grape
grid-2-x-2-check,deprecated,grid-2x2-check
grid-2-x-2-plus,deprecated,grid-2x2-plus
grid-2-x-2-x,deprecated,grid-2x2-x
grid-2-x-2,deprecated,grid-2x2
grid-2x2-check,canonical,grid-2x2-check
grid-2x2-plus,canonical,grid-2x2-plus
grid-2x2-x,canonical,grid-2x2-x
grid-2x2,canonical,grid-2x2
grid-3-x-3,deprecated,grid-3x3
grid-3x2,canonical,grid-3x2
grid-3x3,canonical,grid-3x3
grid,deprecated,grid-3x3
grip-horizontal,canonical,grip-horizontal
grip-vertical,canonical,grip-vertical
grip,canonical,grip
group,canonical,group
guitar,canonical,guitar
ham,canonical,ham
hamburger,canonical,hamburger
hammer,canonical,hammer
hand-coins,canonical,hand-coins
hand-fist,canonical,hand-fist
hand-grab,canonical,hand-grab
hand-heart,canonical,hand-heart
hand-helping,canonical,hand-helping
hand-metal,canonical,hand-metal
hand-platter,canonical,hand-platter
hand,canonical,hand
handbag,canonical,handbag
handshake,canonical,handshake
hard-drive-download,canonical,hard-drive-download
hard-drive-upload,canonical,hard-drive-upload
hard-drive,canonical,hard-drive
hard-hat,canonical,hard-hat
hash,canonical,hash
hat-glasses,canonical,hat-glasses
haze,canonical,haze
hd,canonical,hd
hdmi-port,canonical,hdmi-port
heading-1,canonical,heading-1
heading-2,canonical,heading-2
heading-3,canonical,heading-3
heading-4,canonical,heading-4
heading-5,canonical,heading-5
heading-6,canonical,heading-6
heading,canonical,heading
headphone-off,canonical,headphone-off
headphones,canonical,headphones
headset,canonical,headset
heart-crack,canonical,heart-crack
heart-handshake,canonical,heart-handshake
heart-minus,canonical,heart-minus
heart-off,canonical,heart-off
heart-plus,canonical,heart-plus
heart-pulse,canonical,heart-pulse
heart-x,canonical,heart-x
heart,canonical,heart
heater,canonical,heater
helicopter,canonical,helicopter
help-circle,deprecated,circle-question-mark
helping-hand,deprecated,hand-helping
hexagon,canonical,hexagon
highlighter,canonical,highlighter
history,deprecated,rotate-ccw-clock
home,deprecated,house
hop-off,canonical,hop-off
hop,canonical,hop
hospital,canonical,hospital
hotel,canonical,hotel
hourglass,canonical,hourglass
house-heart,canonical,house-heart
house-plug,canonical,house-plug
house-plus,canonical,house-plus
house-wifi,canonical,house-wifi
house,canonical,house
ice-cream-2,deprecated,ice-cream-bowl
ice-cream-bowl,canonical,ice-cream-bowl
ice-cream-cone,canonical,ice-cream-cone
ice-cream,deprecated,ice-cream-cone
id-card-lanyard,canonical,id-card-lanyard
id-card,canonical,id-card
image-down,canonical,image-down
image-minus,canonical,image-minus
image-off,canonical,image-off
image-play,canonical,image-play
image-plus,canonical,image-plus
image-up,canonical,image-up
image-upscale,canonical,image-upscale
image,canonical,image
images,canonical,images
import,canonical,import
inbox,canonical,inbox
indent-decrease,deprecated,list-indent-decrease
indent-increase,deprecated,list-indent-increase
indent,deprecated,list-indent-increase
indian-rupee,canonical,indian-rupee
infinity,canonical,infinity
info,canonical,info
inspect,deprecated,square-mouse-pointer
inspection-panel,canonical,inspection-panel
italic,canonical,italic
iteration-ccw,canonical,iteration-ccw
iteration-cw,canonical,iteration-cw
japanese-yen,canonical,japanese-yen
joystick,canonical,joystick
kanban-square-dashed,deprecated,square-dashed-kanban
kanban-square,deprecated,square-kanban
kanban,canonical,kanban
kayak,canonical,kayak
key-round,canonical,key-round
key-square,canonical,key-square
key,canonical,key
keyboard-music,canonical,keyboard-music
keyboard-off,canonical,keyboard-off
keyboard,canonical,keyboard
lamp-ceiling,canonical,lamp-ceiling
lamp-desk,canonical,lamp-desk
lamp-floor,canonical,lamp-floor
lamp-wall-down,canonical,lamp-wall-down
lamp-wall-up,canonical,lamp-wall-up
lamp,canonical,lamp
land-plot,canonical,land-plot
landmark,canonical,landmark
languages,canonical,languages
laptop-2,deprecated,laptop-minimal
laptop-minimal-check,canonical,laptop-minimal-check
laptop-minimal,canonical,laptop-minimal
laptop,canonical,laptop
lasso-select,canonical,lasso-select
lasso,canonical,lasso
laugh,deprecated,face-grinning
layer-arrow-down,canonical,layer-arrow-down
layer-arrow-up,canonical,layer-arrow-up
layers-2,canonical,layers-2
layers-3,deprecated,layers
layers-arrow-down,canonical,layers-arrow-down
layers-arrow-up,canonical,layers-arrow-up
layers-minus,canonical,layers-minus
layers-plus,canonical,layers-plus
layers,canonical,layers
layout-dashboard,canonical,layout-dashboard
layout-freeform,canonical,layout-freeform
layout-grid,canonical,layout-grid
layout-list,canonical,layout-list
layout-panel-left,canonical,layout-panel-left
layout-panel-top,canonical,layout-panel-top
layout-template,canonical,layout-template
layout,deprecated,panels-top-left
leaf,canonical,leaf
leafy-green,canonical,leafy-green
lectern,canonical,lectern
lens-concave,canonical,lens-concave
lens-convex,canonical,lens-convex
letter-text,deprecated,text-initial
library-big,canonical,library-big
library-square,deprecated,square-library
library,canonical,library
life-buoy,canonical,life-buoy
ligature,canonical,ligature
lightbulb-off,canonical,lightbulb-off
lightbulb,canonical,lightbulb
line-chart,deprecated,chart-line
line-dot-right-horizontal,canonical,line-dot-right-horizontal
line-squiggle,canonical,line-squiggle
line-style,canonical,line-style
link-2-off,canonical,link-2-off
link-2,canonical,link-2
link,canonical,link
list-check,canonical,list-check
list-checks,canonical,list-checks
list-chevrons-down-up,canonical,list-chevrons-down-up
list-chevrons-up-down,canonical,list-chevrons-up-down
list-collapse,canonical,list-collapse
list-end,canonical,list-end
list-filter-plus,canonical,list-filter-plus
list-filter,canonical,list-filter
list-indent-decrease,canonical,list-indent-decrease
list-indent-increase,canonical,list-indent-increase
list-minus,canonical,list-minus
list-music,canonical,list-music
list-ordered,canonical,list-ordered
list-plus,canonical,list-plus
list-restart,canonical,list-restart
list-sort-ascending,canonical,list-sort-ascending
list-sort-descending,canonical,list-sort-descending
list-start,canonical,list-start
list-todo,canonical,list-todo
list-tree,canonical,list-tree
list-video,canonical,list-video
list-x,canonical,list-x
list,canonical,list
loader-2,deprecated,loader-circle
loader-circle,canonical,loader-circle
loader-pinwheel,canonical,loader-pinwheel
loader,canonical,loader
locate-fixed,canonical,locate-fixed
locate-off,canonical,locate-off
locate,canonical,locate
location-edit,deprecated,map-pin-pen
lock-keyhole-open,canonical,lock-keyhole-open
lock-keyhole,canonical,lock-keyhole
lock-open,canonical,lock-open
lock,canonical,lock
log-in,canonical,log-in
log-out,canonical,log-out
logs,canonical,logs
lollipop,canonical,lollipop
luggage,canonical,luggage
m-square,deprecated,square-m
magnet,canonical,magnet
mail-badge,canonical,mail-badge
mail-check,canonical,mail-check
mail-minus,canonical,mail-minus
mail-open,canonical,mail-open
mail-plus,canonical,mail-plus
mail-question-mark,canonical,mail-question-mark
mail-question,deprecated,mail-question-mark
mail-search,canonical,mail-search
mail-warning,canonical,mail-warning
mail-x,canonical,mail-x
mail,canonical,mail
mailbox,canonical,mailbox
mails,canonical,mails
map-minus,canonical,map-minus
map-pin-check-inside,canonical,map-pin-check-inside
map-pin-check,canonical,map-pin-check
map-pin-house,canonical,map-pin-house
map-pin-minus-inside,canonical,map-pin-minus-inside
map-pin-minus,canonical,map-pin-minus
map-pin-off,canonical,map-pin-off
map-pin-pen,canonical,map-pin-pen
map-pin-plus-inside,canonical,map-pin-plus-inside
map-pin-plus,canonical,map-pin-plus
map-pin-search,canonical,map-pin-search
map-pin-x-inside,canonical,map-pin-x-inside
map-pin-x,canonical,map-pin-x
map-pin,canonical,map-pin
map-pinned,canonical,map-pinned
map-plus,canonical,map-plus
map,canonical,map
mars-stroke,canonical,mars-stroke
mars,canonical,mars
martini,canonical,martini
maximize-2,canonical,maximize-2
maximize,canonical,maximize
medal,canonical,medal
megaphone-off,canonical,megaphone-off
megaphone,canonical,megaphone
meh,deprecated,face-neutral
memory-stick,canonical,memory-stick
menu-square,deprecated,square-menu
menu,canonical,menu
merge,canonical,merge
message-circle-check,canonical,message-circle-check
message-circle-code,canonical,message-circle-code
message-circle-dashed,canonical,message-circle-dashed
message-circle-heart,canonical,message-circle-heart
message-circle-more,canonical,message-circle-more
message-circle-off,canonical,message-circle-off
message-circle-plus,canonical,message-circle-plus
message-circle-question-mark,canonical,message-circle-question-mark
message-circle-question,deprecated,message-circle-question-mark
message-circle-reply,canonical,message-circle-reply
message-circle-warning,canonical,message-circle-warning
message-circle-x,canonical,message-circle-x
message-circle,canonical,message-circle
message-square-check,canonical,message-square-check
message-square-code,canonical,message-square-code
message-square-dashed,canonical,message-square-dashed
message-square-diff,canonical,message-square-diff
message-square-dot,canonical,message-square-dot
message-square-heart,canonical,message-square-heart
message-square-lock,canonical,message-square-lock
message-square-more,canonical,message-square-more
message-square-off,canonical,message-square-off
message-square-plus,canonical,message-square-plus
message-square-quote,canonical,message-square-quote
message-square-reply,canonical,message-square-reply
message-square-share,canonical,message-square-share
message-square-text,canonical,message-square-text
message-square-warning,canonical,message-square-warning
message-square-x,canonical,message-square-x
message-square,canonical,message-square
messages-square,canonical,messages-square
metronome,canonical,metronome
mic-2,deprecated,mic-vocal
mic-audio-lines,canonical,mic-audio-lines
mic-off,canonical,mic-off
mic-signal,canonical,mic-signal
mic-vocal,canonical,mic-vocal
mic,canonical,mic
microchip,canonical,microchip
microscope,canonical,microscope
microwave,canonical,microwave
milestone,canonical,milestone
milk-off,canonical,milk-off
milk,canonical,milk
minimize-2,canonical,minimize-2
minimize,canonical,minimize
minus-circle,deprecated,circle-minus
minus-square,deprecated,square-minus
minus,canonical,minus
mirror-rectangular,canonical,mirror-rectangular
mirror-round,canonical,mirror-round
monitor-check,canonical,monitor-check
monitor-cloud,canonical,monitor-cloud
monitor-cog,canonical,monitor-cog
monitor-dot,canonical,monitor-dot
monitor-down,canonical,monitor-down
monitor-off,canonical,monitor-off
monitor-pause,canonical,monitor-pause
monitor-play,canonical,monitor-play
monitor-smartphone,canonical,monitor-smartphone
monitor-speaker,canonical,monitor-speaker
monitor-stop,canonical,monitor-stop
monitor-up,canonical,monitor-up
monitor-x,canonical,monitor-x
monitor,canonical,monitor
moon-star,canonical,moon-star
moon,canonical,moon
more-horizontal,deprecated,ellipsis
more-vertical,deprecated,ellipsis-vertical
mosque,canonical,mosque
motorbike,canonical,motorbike
mountain-snow,canonical,mountain-snow
mountain,canonical,mountain
mouse-left,canonical,mouse-left
mouse-off,canonical,mouse-off
mouse-pointer-2-off,canonical,mouse-pointer-2-off
mouse-pointer-2,canonical,mouse-pointer-2
mouse-pointer-ban,canonical,mouse-pointer-ban
mouse-pointer-click,canonical,mouse-pointer-click
mouse-pointer-square-dashed,deprecated,square-dashed-mouse-pointer
mouse-pointer,canonical,mouse-pointer
mouse-right,canonical,mouse-right
mouse,canonical,mouse
move-3-d,deprecated,move-3d
move-3d,canonical,move-3d
move-diagonal-2,canonical,move-diagonal-2
move-diagonal,canonical,move-diagonal
move-down-left,canonical,move-down-left
move-down-right,canonical,move-down-right
move-down,canonical,move-down
move-horizontal,canonical,move-horizontal
move-left,canonical,move-left
move-right,canonical,move-right
move-up-left,canonical,move-up-left
move-up-right,canonical,move-up-right
move-up,canonical,move-up
move-vertical,canonical,move-vertical
move,canonical,move
music-2,canonical,music-2
music-3,canonical,music-3
music-4,canonical,music-4
music,canonical,music
navigation-2-off,canonical,navigation-2-off
navigation-2,canonical,navigation-2
navigation-off,canonical,navigation-off
navigation,canonical,navigation
network,canonical,network
newspaper,canonical,newspaper
nfc,canonical,nfc
non-binary,canonical,non-binary
notebook-pen,canonical,notebook-pen
notebook-tabs,canonical,notebook-tabs
notebook-text,canonical,notebook-text
notebook,canonical,notebook
notepad-text-dashed,canonical,notepad-text-dashed
notepad-text,canonical,notepad-text
nut-off,canonical,nut-off
nut,canonical,nut
octagon-alert,canonical,octagon-alert
octagon-minus,canonical,octagon-minus
octagon-pause,canonical,octagon-pause
octagon-x,canonical,octagon-x
octagon,canonical,octagon
omega,canonical,omega
option,canonical,option
orbit,canonical,orbit
origami,canonical,origami
outdent,deprecated,list-indent-decrease
package-2,canonical,package-2
package-check,canonical,package-check
package-minus,canonical,package-minus
package-open,canonical,package-open
package-plus,canonical,package-plus
package-search,canonical,package-search
package-x,canonical,package-x
package,canonical,package
paint-bucket,canonical,paint-bucket
paint-roller,canonical,paint-roller
paintbrush-2,deprecated,paintbrush-vertical
paintbrush-vertical,canonical,paintbrush-vertical
paintbrush,canonical,paintbrush
palette,canonical,palette
palmtree,deprecated,tree-palm
panda,canonical,panda
panel-bottom-close,canonical,panel-bottom-close
panel-bottom-dashed,canonical,panel-bottom-dashed
panel-bottom-inactive,deprecated,panel-bottom-dashed
panel-bottom-open,canonical,panel-bottom-open
panel-bottom,canonical,panel-bottom
panel-left-close,canonical,panel-left-close
panel-left-dashed,canonical,panel-left-dashed
panel-left-inactive,deprecated,panel-left-dashed
panel-left-open,canonical,panel-left-open
panel-left-right-dashed,canonical,panel-left-right-dashed
panel-left,canonical,panel-left
panel-right-close,canonical,panel-right-close
panel-right-dashed,canonical,panel-right-dashed
panel-right-inactive,deprecated,panel-right-dashed
panel-right-open,canonical,panel-right-open
panel-right,canonical,panel-right
panel-top-bottom-dashed,canonical,panel-top-bottom-dashed
panel-top-close,canonical,panel-top-close
panel-top-dashed,canonical,panel-top-dashed
panel-top-inactive,deprecated,panel-top-dashed
panel-top-open,canonical,panel-top-open
panel-top,canonical,panel-top
panels-left-bottom,canonical,panels-left-bottom
panels-left-right,deprecated,columns-3
panels-right-bottom,canonical,panels-right-bottom
panels-top-bottom,deprecated,rows-3
panels-top-left,canonical,panels-top-left
paper-bag,canonical,paper-bag
paperclip,canonical,paperclip
parasol,canonical,parasol
parentheses,canonical,parentheses
parking-circle-off,deprecated,circle-parking-off
parking-circle,deprecated,circle-parking
parking-meter,canonical,parking-meter
parking-square-off,deprecated,square-parking-off
parking-square,deprecated,square-parking
party-popper,canonical,party-popper
pause-circle,deprecated,circle-pause
pause-octagon,deprecated,octagon-pause
pause,canonical,pause
paw-print,canonical,paw-print
pc-case,canonical,pc-case
pen-box,deprecated,square-pen
pen-line,canonical,pen-line
pen-off,canonical,pen-off
pen-square,deprecated,square-pen
pen-tool,canonical,pen-tool
pen,canonical,pen
pencil-line,canonical,pencil-line
pencil-off,canonical,pencil-off
pencil-ruler,canonical,pencil-ruler
pencil-sparkles,canonical,pencil-sparkles
pencil,canonical,pencil
pentagon,canonical,pentagon
percent-circle,deprecated,circle-percent
percent-diamond,deprecated,diamond-percent
percent-square,deprecated,square-percent
percent,canonical,percent
person-standing,canonical,person-standing
phi,canonical,phi
philippine-peso,canonical,philippine-peso
phone-call,canonical,phone-call
phone-forwarded,canonical,phone-forwarded
phone-incoming,canonical,phone-incoming
phone-missed,canonical,phone-missed
phone-off,canonical,phone-off
phone-outgoing,canonical,phone-outgoing
phone,canonical,phone
pi-square,deprecated,square-pi
pi,canonical,pi
piano,canonical,piano
pickaxe,canonical,pickaxe
picture-in-picture-2,canonical,picture-in-picture-2
picture-in-picture,canonical,picture-in-picture
pie-chart,deprecated,chart-pie
piggy-bank,canonical,piggy-bank
pilcrow-left,canonical,pilcrow-left
pilcrow-right,canonical,pilcrow-right
pilcrow-square,deprecated,square-pilcrow
pilcrow,canonical,pilcrow
pill-bottle,canonical,pill-bottle
pill,canonical,pill
pin-off,canonical,pin-off
pin,canonical,pin
pipette,canonical,pipette
pizza,canonical,pizza
plane-landing,canonical,plane-landing
plane-takeoff,canonical,plane-takeoff
plane,canonical,plane
play-circle,deprecated,circle-play
play-off,canonical,play-off
play-square,deprecated,square-play
play,canonical,play
plug-2,canonical,plug-2
plug-zap-2,deprecated,plug-zap
plug-zap,canonical,plug-zap
plug,canonical,plug
plus-circle,deprecated,circle-plus
plus-square,deprecated,square-plus
plus,canonical,plus
pocket-knife,canonical,pocket-knife
podcast,deprecated,mic-signal
podium,canonical,podium
pointer-off,canonical,pointer-off
pointer,canonical,pointer
popcorn,canonical,popcorn
popsicle,canonical,popsicle
pound-sterling,canonical,pound-sterling
power-circle,deprecated,circle-power
power-off,canonical,power-off
power-square,deprecated,square-power
power,canonical,power
presentation,canonical,presentation
printer-check,canonical,printer-check
printer-x,canonical,printer-x
printer,canonical,printer
projector,canonical,projector
proportions,canonical,proportions
puzzle,canonical,puzzle
pyramid,canonical,pyramid
qr-code,canonical,qr-code
quote,canonical,quote
rabbit,canonical,rabbit
radar,canonical,radar
radiation,canonical,radiation
radical,canonical,radical
radio-off,canonical,radio-off
radio-receiver,canonical,radio-receiver
radio-tower,canonical,radio-tower
radio,canonical,radio
radius,canonical,radius
rainbow,canonical,rainbow
rat,canonical,rat
ratio,canonical,ratio
receipt-cent,canonical,receipt-cent
receipt-euro,canonical,receipt-euro
receipt-indian-rupee,canonical,receipt-indian-rupee
receipt-japanese-yen,canonical,receipt-japanese-yen
receipt-pound-sterling,canonical,receipt-pound-sterling
receipt-russian-ruble,canonical,receipt-russian-ruble
receipt-swiss-franc,canonical,receipt-swiss-franc
receipt-text,canonical,receipt-text
receipt-turkish-lira,canonical,receipt-turkish-lira
receipt,canonical,receipt
rectangle-circle,canonical,rectangle-circle
rectangle-ellipsis,canonical,rectangle-ellipsis
rectangle-goggles,canonical,rectangle-goggles
rectangle-horizontal,canonical,rectangle-horizontal
rectangle-vertical,canonical,rectangle-vertical
recycle,canonical,recycle
redo-2,canonical,redo-2
redo-dot,canonical,redo-dot
redo,canonical,redo
refresh-ccw-dot,canonical,refresh-ccw-dot
refresh-ccw,canonical,refresh-ccw
refresh-cw-off,canonical,refresh-cw-off
refresh-cw,canonical,refresh-cw
refrigerator,canonical,refrigerator
regex,canonical,regex
remove-formatting,canonical,remove-formatting
repeat-1,canonical,repeat-1
repeat-2,canonical,repeat-2
repeat-off,canonical,repeat-off
repeat,canonical,repeat
replace-all,canonical,replace-all
replace,canonical,replace
reply-all,canonical,reply-all
reply,canonical,reply
rewind,canonical,rewind
ribbon,canonical,ribbon
road,canonical,road
rocket,canonical,rocket
rocking-chair,canonical,rocking-chair
roller-coaster,canonical,roller-coaster
rose,canonical,rose
rotate-3-d,deprecated,rotate-3d
rotate-3d,canonical,rotate-3d
rotate-ccw-clock,canonical,rotate-ccw-clock
rotate-ccw-key,canonical,rotate-ccw-key
rotate-ccw-square,canonical,rotate-ccw-square
rotate-ccw,canonical,rotate-ccw
rotate-cw-fading-clock,canonical,rotate-cw-fading-clock
rotate-cw-square,canonical,rotate-cw-square
rotate-cw,canonical,rotate-cw
route-off,canonical,route-off
route,canonical,route
router,canonical,router
rows-2,canonical,rows-2
rows-3,canonical,rows-3
rows-4,canonical,rows-4
rows,deprecated,rows-2
rss,canonical,rss
ruler-dimension-line,canonical,ruler-dimension-line
ruler,canonical,ruler
russian-ruble,canonical,russian-ruble
sailboat,canonical,sailboat
salad,canonical,salad
sandwich,canonical,sandwich
satellite-dish,canonical,satellite-dish
satellite,canonical,satellite
saudi-riyal,canonical,saudi-riyal
save-all,canonical,save-all
save-check,canonical,save-check
save-off,canonical,save-off
save-pen,canonical,save-pen
save-plus,canonical,save-plus
save,canonical,save
scale-3-d,deprecated,scale-3d
scale-3d,canonical,scale-3d
scale,canonical,scale
scaling,canonical,scaling
scan-barcode,canonical,scan-barcode
scan-box,canonical,scan-box
scan-eye,canonical,scan-eye
scan-face,canonical,scan-face
scan-heart,canonical,scan-heart
scan-line,canonical,scan-line
scan-qr-code,canonical,scan-qr-code
scan-search,canonical,scan-search
scan-square,canonical,scan-square
scan-text,canonical,scan-text
scan,canonical,scan
scatter-chart,deprecated,chart-scatter
school-2,deprecated,university
school,canonical,school
scissors-line-dashed,canonical,scissors-line-dashed
scissors-square-dashed-bottom,deprecated,square-bottom-dashed-scissors
scissors-square,deprecated,square-scissors
scissors,canonical,scissors
scooter,canonical,scooter
screen-share-off,canonical,screen-share-off
screen-share,canonical,screen-share
scroll-text,canonical,scroll-text
scroll,canonical,scroll
search-alert,canonical,search-alert
search-check,canonical,search-check
search-code,canonical,search-code
search-slash,canonical,search-slash
search-x,canonical,search-x
search,canonical,search
section,canonical,section
send-horizonal,deprecated,send-horizontal
send-horizontal,canonical,send-horizontal
send-to-back,canonical,send-to-back
send,canonical,send
separator-horizontal,canonical,separator-horizontal
separator-vertical,canonical,separator-vertical
server-cog,canonical,server-cog
server-crash,canonical,server-crash
server-off,canonical,server-off
server-plus,canonical,server-plus
server,canonical,server
settings-2,canonical,settings-2
settings,canonical,settings
shapes,canonical,shapes
share-2,canonical,share-2
share,canonical,share
sheet,canonical,sheet
shell,canonical,shell
shelving-unit,canonical,shelving-unit
shield-alert,canonical,shield-alert
shield-ban,canonical,shield-ban
shield-check,canonical,shield-check
shield-close,deprecated,shield-x
shield-cog-corner,canonical,shield-cog-corner
shield-cog,canonical,shield-cog
shield-ellipsis,canonical,shield-ellipsis
shield-half,canonical,shield-half
shield-keyhole,canonical,shield-keyhole
shield-lock,canonical,shield-lock
shield-minus,canonical,shield-minus
shield-off,canonical,shield-off
shield-plus,canonical,shield-plus
shield-question-mark,canonical,shield-question-mark
shield-question,deprecated,shield-question-mark
shield-user,canonical,shield-user
shield-x,canonical,shield-x
shield,canonical,shield
ship-wheel,canonical,ship-wheel
ship,canonical,ship
shirt,canonical,shirt
shopping-bag,canonical,shopping-bag
shopping-basket,canonical,shopping-basket
shopping-cart,canonical,shopping-cart
shovel,canonical,shovel
shower-head,canonical,shower-head
shredder,canonical,shredder
shrimp,canonical,shrimp
shrink,canonical,shrink
shrub,canonical,shrub
shuffle,canonical,shuffle
sidebar-close,deprecated,panel-left-close
sidebar-open,deprecated,panel-left-open
sidebar,deprecated,panel-left
sigma-square,deprecated,square-sigma
sigma,canonical,sigma
signal-high,canonical,signal-high
signal-low,canonical,signal-low
signal-medium,canonical,signal-medium
signal-zero,canonical,signal-zero
signal,canonical,signal
signature,canonical,signature
signpost-big,canonical,signpost-big
signpost,canonical,signpost
siren,canonical,siren
skip-back,canonical,skip-back
skip-forward,canonical,skip-forward
skull,canonical,skull
slash-square,deprecated,square-slash
slash,canonical,slash
slice,canonical,slice
sliders-horizontal,canonical,sliders-horizontal
sliders-vertical,canonical,sliders-vertical
sliders,deprecated,sliders-vertical
smartphone-charging,canonical,smartphone-charging
smartphone-nfc,canonical,smartphone-nfc
smartphone,canonical,smartphone
smile-plus,deprecated,face-slightly-smiling-plus
smile,deprecated,face-slightly-smiling
snail,canonical,snail
snowflake,canonical,snowflake
soap-dispenser-droplet,canonical,soap-dispenser-droplet
sofa,canonical,sofa
solar-panel,canonical,solar-panel
sort-asc,deprecated,arrow-up-narrow-wide
sort-desc,deprecated,arrow-down-wide-narrow
soup,canonical,soup
space,canonical,space
spade,canonical,spade
sparkle,canonical,sparkle
sparkles,canonical,sparkles
speaker,canonical,speaker
speech,canonical,speech
spell-check-2,canonical,spell-check-2
spell-check,canonical,spell-check
spline-pointer,canonical,spline-pointer
spline,canonical,spline
split-square-horizontal,deprecated,square-split-horizontal
split-square-vertical,deprecated,square-split-vertical
split,canonical,split
spool,canonical,spool
sport-shoe,canonical,sport-shoe
spotlight,canonical,spotlight
spray-can,canonical,spray-can
sprout,canonical,sprout
square-activity,canonical,square-activity
square-arrow-down-left,canonical,square-arrow-down-left
square-arrow-down-right,canonical,square-arrow-down-right
square-arrow-down,canonical,square-arrow-down
square-arrow-left,canonical,square-arrow-left
square-arrow-out-down-left,canonical,square-arrow-out-down-left
square-arrow-out-down-right,canonical,square-arrow-out-down-right
square-arrow-out-up-left,canonical,square-arrow-out-up-left
square-arrow-out-up-right,canonical,square-arrow-out-up-right
square-arrow-right-enter,canonical,square-arrow-right-enter
square-arrow-right-exit,canonical,square-arrow-right-exit
square-arrow-right,canonical,square-arrow-right
square-arrow-up-left,canonical,square-arrow-up-left
square-arrow-up-right,canonical,square-arrow-up-right
square-arrow-up,canonical,square-arrow-up
square-asterisk,canonical,square-asterisk
square-bottom-dashed-scissors,canonical,square-bottom-dashed-scissors
square-centerline-dashed-horizontal,canonical,square-centerline-dashed-horizontal
square-centerline-dashed-vertical,canonical,square-centerline-dashed-vertical
square-chart-gantt,canonical,square-chart-gantt
square-check-big,canonical,square-check-big
square-check,canonical,square-check
square-chevron-down,canonical,square-chevron-down
square-chevron-left,canonical,square-chevron-left
square-chevron-right,canonical,square-chevron-right
square-chevron-up,canonical,square-chevron-up
square-code,canonical,square-code
square-dashed-bottom-code,canonical,square-dashed-bottom-code
square-dashed-bottom,canonical,square-dashed-bottom
square-dashed-kanban,canonical,square-dashed-kanban
square-dashed-mouse-pointer,canonical,square-dashed-mouse-pointer
square-dashed-text,canonical,square-dashed-text
square-dashed-top-solid,canonical,square-dashed-top-solid
square-dashed,canonical,square-dashed
square-divide,canonical,square-divide
square-dot,canonical,square-dot
square-equal,canonical,square-equal
square-function,canonical,square-function
square-gantt-chart,deprecated,square-chart-gantt
square-kanban,canonical,square-kanban
square-library,canonical,square-library
square-m,canonical,square-m
square-menu,canonical,square-menu
square-minus,canonical,square-minus
square-mouse-pointer,canonical,square-mouse-pointer
square-off,canonical,square-off
square-parking-off,canonical,square-parking-off
square-parking,canonical,square-parking
square-pause,canonical,square-pause
square-pen,canonical,square-pen
square-percent,canonical,square-percent
square-pi,canonical,square-pi
square-pilcrow,canonical,square-pilcrow
square-play,canonical,square-play
square-plus,canonical,square-plus
